transAmount,transCurrency,transDescription,transChannel,cardType,cardNetwork,cardExpDate,cardCompany,city,zipCode,latitude,longitude,deviceType,posPostalCodeType,country,state,posDetails.geoStreet1,posDetails.geoCity,posDetails.geoState,posDetails.geoCountry,posDetails.geoPostalCodeType,posDetails.lat,posDetails.lon,fraud_flag,mobileDetails.deviceName,mobileDetails.deviceOS,mobileDetails.deviceNetwork,mobileDetails.appName,mobileDetails.userLat,mobileDetails.userLong,mobileDetails.deviceIP,webDetails.deviceMacAddr,webDetails.deviceIP,webDetails.browser,webDetails.deviceOS,webDetails.hostURL,customer.customerType,customer.customerAvgSpending,customer.customerRiskScore,customer.custGender,customer.custMaritalStatus,customer.custIncomeLevel,customer.custStreet1,customer.custStreet2,customer.custCity,customer.custState,customer.custCountry,customer.custPostalCode,customer.lat,customer.lon,paymentCard.cardType,paymentCard.cardExpDate,paymentCard.cardNetwork,paymentCard.cardCompany,paymentCard.cardCompanyCountry,paymentCard.cardLimit,paymentCard.cardBalance,storePOS.storeName,storePOS.storeRiskScore,storePOS.storeType,dollar_amount
476,pound,Et eligendi voluptat,POS,prepaid,mastercard,2020-02-20,Hauck-Hauck,Zahl,58856,48.5787468,-103.6599274,POS,Bank,US,ND,Rubye Stream,Zahl,ND,US,Bank,48.578747,-103.65993,0,Salvador,android,jio,Otcom,81.444085000000001,-89.443107999999995,157.240.0.36,NA,NA,NA,NA,NA,priority,7441.125734,0.439666522,Female,Married,Low,Erdman Walk,177,Georgetown,MD,US,21930,39.399723,-75.87417,prepaid,22-Feb,mastercard,Langosh-Langosh,US,350384.8965,30330.06999,NA,0.088001348336,NA,626.416
1869.553593,rupee,Eum officiis corrupt,WEB,credit,visa,2020-04-20,"Schaefer, Schaefer and Schaefer",Washington,56972,38.85879898,-76.98680115,ub,NoPOS,US,DC,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,d4:b0:99:c8:72:f4,8.8.8.8,opera,Other,www.keegan-torphy.io,priority,7952.630439,0.386899894,Female,Unmarried,Low,Gage Forks,937,Wilder,TN,US,38589,36.230526,-85.074715,debit,20-Sep,mastercard,Little-Little,US,986409.7384,2182.553506,NA,0.088001348336,NA,28.73503872
122,yen,Placeat ipsa aperiam,POS,debit,americanexpress,2020-03-22,Marvin-Marvin,Lee,3861,43.12313843,-71.01145172,POS,Supermarket,US,NH,Streich Plaza,Lee,NH,US,Supermarket,43.123139999999999,-71.011449999999996,0,Aracely,android,airtel,Bytecard,-48.936160999999998,-94.334259000000003,8.8.8.8,NA,NA,NA,NA,NA,business,6555.203692,0.532913468,Female,Married,High,Klocko Curve,868,Woodland,MS,US,39776,33.80661,-89.02556,prepaid,20-Jun,visa,Murray-Murray,US,892112.4303,34305.34243,NA,0.088001348336,NA,1.07177
214,pound,Et rem odio qui expe,POS,debit,mastercard,2020-03-19,Batz and Sons,Springfield,65899,37.1493988,-93.25019836,POS,Supermarket,US,MO,Kub Unions,Springfield,MO,US,Supermarket,37.1494,-93.250200000000007,0,NA,NA,NA,NA,NA,NA,NA,ab:33:7d:bc:fd:ed,47.52.0.242,chrome,Solaris,www.anastasia-botsford.net,business,3882.213717,0.374799044,Female,Married,Low,Bechtelar Keys,858,RoundRock,TX,US,78665,30.508255,-97.678894,prepaid,20-Oct,mastercard,Lueilwitz Group,US,879125.4105,52922.2478,NA,0.088001348336,NA,281.624
479,dollar,Molestiae sint labor,WEB,credit,mastercard,2020-09-22,"Aufderhar, Aufderhar and Aufderhar",Alta,83414,43.75388718,-111.0361099,safari,NoPOS,US,WY,NA,NA,NA,NA,NA,NA,NA,0,Amanda,symbian,idea,Lotlux,-63.873832,151.42936,107.154.105.1,NA,NA,NA,NA,NA,business,4970.430728,0.385178943,Female,Married,High,Elise Cliff,562,BattleCreek,MI,US,49037,42.32115,-85.17971,prepaid,18-May,mastercard,Treutel and Sons,US,404243.9036,59209.48452,NA,0.088001348336,NA,479
1004.205636,yen,Dolorum sunt et cons,MOBILE,credit,americanexpress,2020-12-21,Bartoletti-Bartoletti,York,36925,32.47276688,-88.26830292,windows,NoPOS,US,AL,NA,NA,NA,NA,NA,NA,NA,0,Willow,windows,vodaphone,Domainer,-17.603876,13.741652,157.240.0.36,NA,NA,NA,NA,NA,business,5420.129467,0.432556249,Female,Married,Very High,Weber Drive,347,Warroad,MN,US,56763,48.911144,-95.35384,credit,20-Oct,visa,"Marvin, Marvin and Marvin",US,657579.2871,17015.76821,NA,0.088001348336,NA,8.82194651
317,pound,Earum neque voluptat,POS,debit,americanexpress,2020-12-19,"Hoeger, Hoeger and Hoeger",Trementina,88439,35.58494568,-104.6163406,POS,Bank,US,NM,Danial Mountain,Trementina,NM,US,Bank,35.584946000000002,-104.61633999999999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular,5611.294285,0.110303014,Male,Other,Very High,Sandrine Squares,437,WestChester,PA,GM,19388,39.960663,-75.60549,prepaid,18-Jun,visa,Rutherford Group,GM,860402.2154,48448.08269,Jaskolski-Jaskolski,0.205092652,Eileen,417.172
1062.06115,rupee,Sed eum minima tempo,MOBILE,credit,mastercard,2020-09-22,"Aufderhar, Aufderhar and Aufderhar",Alta,83414,43.75388718,-111.0361099,android,NoPOS,US,WY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,e4:99:5a:a2:65:7d,8.8.8.8,ub,MacOS,www.johanna-grant.net,partner,3697.713773,0.155335388,Male,Other,Very High,Yasmine Stravenue,893,Woodside,DE,US,19980,39.07139,-75.56861,credit,20-May,mastercard,Kautzer-Kautzer,US,715133.6677,73262.89961,NA,0.088001348336,NA,16.32387987
2158.918935,yen,Velit accusamus volu,WEB,debit,visa,2020-10-18,Grant and Sons,Spotsylvania,22551,38.20096588,-77.5891571,chrome,NoPOS,US,VA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7d:38:22:c5:2a:bf,47.52.0.242,opera,Windows,www.eduardo-schroeder.co,priority,5909.893088,0.504581488,Female,Married,Low,Aglae Roads,842,WestFarmington,ME,US,4992,44.662777,-70.15583,credit,20-Nov,americanexpress,"Bednar, Bednar and Bednar",US,529566.7522,37986.08261,NA,0.088001348336,NA,18.96610285
1742.729639,rupee,Hic facere fuga veri,WEB,credit,americanexpress,2020-08-22,Daniel and Sons,PostFalls,83877,47.71805573,-116.9505539,firefox,NoPOS,US,ID,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,priority,5360.514332,0.063049974,Male,Other,High,Robel Villages,227,SaintGeorge,UT,US,84791,37.0892,-113.5564,credit,22-Jul,americanexpress,Gusikowski-Gusikowski,US,568340.5678,64080.41849,Kris LLC,0.113485066,Alysha,26.78575455
2042.517941,dollar,Qui odio non consequ,MOBILE,credit,mastercard,2020-05-20,Kautzer-Kautzer,Woodside,19980,39.07138824,-75.56861115,firefox,NoPOS,US,DE,NA,NA,NA,NA,NA,NA,NA,0,Cleveland,firefox,idea,Span,79.865228999999999,-126.71328,104.24.104.181,NA,NA,NA,NA,NA,business,3197.28264,0.435599465,Male,Other,High,Lexi Passage,812,Reno,NV,US,89508,39.529633,-119.813805,debit,18-Sep,visa,"Steuber, Steuber and Steuber",US,564409.4216,43580.26357,NA,0.088001348336,NA,2042.517941
3727.765071,pound,Voluptas consequatur,MOBILE,credit,americanexpress,2020-11-17,"Miller, Miller and Miller",Alta,83414,43.75388718,-111.0361099,ubuntu,NoPOS,US,WY,NA,NA,NA,NA,NA,NA,NA,1,Dayana,android,vodaphone,Voyatouch,-65.779843999999997,-121.12457000000001,8.8.8.8,NA,NA,NA,NA,NA,regular,4455.359,0.511771774,Female,Married,High,Hansen Island,875,WestFarmington,ME,US,4992,44.662777,-70.15583,debit,17-Nov,mastercard,"Champlin, Champlin and Champlin",US,964402.3194,28605.4842,NA,0.088001348336,NA,4905.738834
163,pound,Magni soluta sapient,POS,credit,visa,2020-01-22,Barton Group,NewBrunswick,8989,40.45019913,-74.48040009,POS,Bank,US,NJ,Harvey Village,NewBrunswick,NJ,US,Bank,40.450200000000002,-74.480400000000003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,3023.904797,0.016463309,Male,Other,Low,Senger Unions,82,Providence,RI,US,2940,41.8238,-71.4133,prepaid,18-Jul,mastercard,Blick and Sons,US,863871.5753,73296.33842,Kunde Inc,0.177038982,Destinee,214.508
2803.547547,rupee,Deleniti aut perfere,WEB,credit,visa,2020-10-20,Reichel-Reichel,Spearfish,57799,44.49083328,-103.8588867,chrome,NoPOS,US,SD,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,35:c9:a3:5c:eb:9f,107.154.105.1,chrome,Windows,www.kylie-boehm.net,partner,3392.74969,0.529389335,Male,Other,High,Zieme Walks,860,Norton,VT,US,5907,44.98878,-71.78844,credit,20-Jan,visa,"Frami, Frami and Frami",US,751934.2058,90193.85018,NA,0.088001348336,NA,43.0905258
2378.544993,yen,Sed corporis explica,POS,credit,americanexpress,2020-07-22,Gusikowski-Gusikowski,Atlanta,39901,33.8871994,-84.28970337,POS,Bank,US,GA,Murphy Lodge,Atlanta,GA,US,Bank,33.8872,-84.289699999999996,0,NA,NA,NA,NA,NA,NA,NA,14:13:da:cb:9c:31,104.24.104.181,chrome,Windows,www.viola-gerlach.org,priority,3405.01056,0.129625855,Male,Married,Very High,Labadie Forges,260,WhiteMills,KY,US,42788,37.543766,-86.03952,credit,18-Sep,americanexpress,Gerlach Inc,US,846601.1466,8959.358655,NA,0.088001348336,NA,20.89551776
3841.754662,yen,At repellendus conse,POS,prepaid,mastercard,2020-07-20,Brakus-Brakus,Wilder,38589,36.23052597,-85.07471466,POS,Bank,US,TN,Moore Radial,Wilder,TN,US,Bank,36.230525999999998,-85.074714999999998,1,NA,NA,NA,NA,NA,NA,NA,ad:c3:b5:57:72:fd,8.8.8.8,ub,Solaris,www.thad-gleason.name,partner,7397.405587,0.327467592,Male,Other,Very High,Metz Spurs,305,Spotsylvania,VA,US,22551,38.200966,-77.58916,debit,19-Jun,americanexpress,Daugherty Inc,US,235348.372,7422.929002,NA,0.088001348336,NA,33.7498147
531,pound,Laborum non illum fa,WEB,credit,mastercard,2020-06-19,"Beahan, Beahan and Beahan",Lee,3861,43.12313843,-71.01145172,ub,NoPOS,US,NH,NA,NA,NA,NA,NA,NA,NA,0,Ashton,symbian,idea,Lotstring,-14.199420999999999,-138.94299000000001,96.43.110.81,NA,NA,NA,NA,NA,priority,5321.385597,0.5227962,Female,Unmarried,Very High,Danielle Trail,491,Lafayette,LA,US,70500,30.22409,-92.019844,prepaid,22-Apr,visa,"Kertzmann, Kertzmann and Kertzmann",US,377926.0031,83249.57916,NA,0.088001348336,NA,698.796
3418.34182,rupee,Tempora eos minima t,MOBILE,credit,americanexpress,2020-07-22,Gusikowski-Gusikowski,SaintGeorge,84791,37.08919907,-113.5563965,firefox,NoPOS,US,UT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular,6989.255606,0.14772139,Female,Married,High,Karine Via,36,Norton,VT,US,5907,44.98878,-71.78844,debit,20-Nov,visa,"Sporer, Sporer and Sporer",US,366028.9464,1595.341164,Streich-Streich,0.210771249,Joaquin,52.53991377
3117.163665,dollar,Esse est occaecati a,POS,credit,americanexpress,2020-09-18,Gerlach Inc,Warne,28909,35.00243759,-83.90454102,POS,Supermarket,US,NC,Brennon Keys,Warne,NC,US,Supermarket,35.002437999999998,-83.904539999999997,0,NA,NA,NA,NA,NA,NA,NA,11:4b:20:73:30:b6,104.24.104.181,opera,Linux,www.hester-reichert.co,partner,6071.353505,0.505207992,Male,Married,Very High,Abernathy Glen,995,Alta,WY,US,83414,43.753887,-111.03611,credit,17-Nov,americanexpress,"Miller, Miller and Miller",US,629579.895,34299.9769,NA,0.088001348336,NA,3117.163665
2224.115409,dollar,Possimus qui ipsa do,POS,credit,americanexpress,2020-09-18,Gerlach Inc,Marana,85658,32.43673706,-111.2253799,POS,Other,US,AZ,Swaniawski Hill,Marana,AZ,US,Other,32.436737000000001,-111.22538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partner,3549.830864,0.313378958,Male,Other,High,Westley Parkway,50,NewYork,NY,US,10075,40.714268,-74.005974,debit,20-Jan,americanexpress,"Effertz, Effertz and Effertz",US,621839.1883,28813.36112,Weissnat-Weissnat,0.188109782,Aubree,2224.115409
50,pound,Soluta quod reprehen,WEB,debit,americanexpress,2020-09-20,Marquardt and Sons,NorthPort,34291,27.04422379,-82.23592377,ie,NoPOS,US,FL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular,4339.769599,0.114890552,Female,Other,High,Stanton Glen,995,Whitefish,MT,US,59937,48.404,-114.35086,prepaid,21-Jun,visa,Lind-Lind,US,305550.0347,62974.15786,"Satterfield, Satterfield and S",0.041918418,Aubrey,65.8
2798.844136,rupee,In autem totam optio,WEB,debit,americanexpress,2020-12-19,"Hoeger, Hoeger and Hoeger",RoundRock,78665,30.508255,-97.67889404,firefox,NoPOS,US,TX,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular,6089.626071,0.291597811,Male,Married,Low,Reinger Springs,549,Spotsylvania,VA,US,22551,38.200966,-77.58916,debit,20-Apr,americanexpress,"Walker, Walker and Walker",US,447516.1178,3890.341125,Gusikowski-Gusikowski,0.210676476,Charles,43.01823437
3842.609256,yen,Quos impedit modi nu,MOBILE,debit,visa,2020-04-20,Walsh LLC,Winslow,72959,35.83120728,-94.11865997,android,NoPOS,US,AR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ec:31:0c:68:9b:87,64.145.76.239,firefox,Other,www.liam-sauer.net,priority,7119.291305,0.078055621,Male,Married,Very High,Sonny Mountains,988,Westfall,OR,US,97920,43.992245,-117.687675,debit,20-Nov,americanexpress,Gottlieb-Gottlieb,US,153300.2137,25276.20205,NA,0.088001348336,NA,33.75732231
2019.709962,pound,Nisi sequi velit neq,WEB,credit,mastercard,2020-01-19,"Davis, Davis and Davis",Whitefish,59937,48.40399933,-114.3508606,ie,NoPOS,US,MT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ae:fd:17:39:21:fb,73.2.52.46,chrome,Windows,www.ines-nienow.org,partner,6658.768659,0.05023257,Male,Married,Low,Juana Street,893,PostFalls,ID,US,83877,47.718056,-116.950554,credit,22-Aug,americanexpress,Daniel and Sons,US,151800.7076,95162.11175,NA,0.088001348336,NA,2657.93831
3795.43359,dollar,Corrupti alias sed l,MOBILE,debit,visa,2020-05-19,"Schmitt, Schmitt and Schmitt",York,36925,32.47276688,-88.26830292,firefox,NoPOS,US,AL,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,d6:1f:a0:76:e1:1e,107.154.105.1,ub,Windows,www.edward-aufderhar.info,partner,3549.830864,0.313378958,Male,Other,High,Westley Parkway,50,NewYork,NY,US,10075,40.714268,-74.005974,debit,20-Jan,americanexpress,"Effertz, Effertz and Effertz",US,621839.1883,28813.36112,NA,0.088001348336,NA,3795.43359
1621.14357,rupee,Fuga recusandae unde,MOBILE,credit,visa,2020-05-22,Maggio LLC,WestChester,19388,39.96066284,-75.60549164,android,NoPOS,US,PA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,6656.482779,0.224465655,Male,Unmarried,Low,Jaskolski Divide,794,Atlanta,GA,US,39901,33.8872,-84.2897,credit,18-Dec,visa,Sporer Group,US,910730.622,43714.66444,Macejkovic-Macejkovic,0.346979457,Deshaun,24.91697667
2251.839471,pound,Qui amet assumenda r,WEB,credit,americanexpress,2020-09-18,Gerlach Inc,WhiteMills,42788,37.54376602,-86.03952026,ie,NoPOS,US,KY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,f1:aa:6d:25:d3:ee,47.52.0.242,ie,Linux,www.shayne-sawayn.co,partner,5222.384087,0.047691694,Male,Married,High,Malcolm Forge,195,Washington,DC,US,56972,38.8588,-76.9868,debit,18-Oct,visa,Rice Group,US,323041.4172,21076.05026,NA,0.088001348336,NA,2963.420744
3991.331394,rupee,Quod porro nulla opt,MOBILE,debit,americanexpress,2020-10-18,"Sawayn, Sawayn and Sawayn",Carolina,988,18.40200043,-65.97820282,ubuntu,NoPOS,US,PR,NA,NA,NA,NA,NA,NA,NA,0,Shirley,ios,vodaphone,Veribet,11.234750999999999,-131.34305000000001,96.43.110.81,NA,NA,NA,NA,NA,business,4513.357715,0.07298049,Female,Other,High,Bode Vista,330,Reynoldsburg,OH,US,43069,39.954784,-82.81212,debit,21-Mar,americanexpress,Leuschke and Sons,US,401845.6566,64553.44914,NA,0.088001348336,NA,61.34676352
81,rupee,Accusantium libero p,MOBILE,credit,mastercard,2020-04-18,Senger Inc,Warroad,56763,48.91114426,-95.35384369,windows,NoPOS,US,MN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,3050.559389,0.399957743,Female,Married,Very High,Kayden Shore,192,Edmond,OK,US,73025,35.652832,-97.478096,prepaid,20-Sep,mastercard,Swaniawski Group,US,329465.7308,27424.18855,"Zboncak, Zboncak and Zboncak",0.288189884,Lucius,1.24497
1971.177039,pound,Laudantium vitae eni,POS,credit,americanexpress,2020-07-22,Gusikowski-Gusikowski,Woodland,39776,33.80661011,-89.02555847,POS,Supermarket,US,MS,Tess Burgs,Woodland,MS,US,Supermarket,33.806609999999999,-89.025559999999999,0,NA,NA,NA,NA,NA,NA,NA,03:85:41:99:b6:9f,64.145.76.239,firefox,MacOS,www.lisa-gulgowski.com,partner,6658.768659,0.05023257,Male,Married,Low,Juana Street,893,PostFalls,ID,US,83877,47.718056,-116.950554,credit,22-Aug,americanexpress,Daniel and Sons,US,151800.7076,95162.11175,NA,0.088001348336,NA,2594.068983
551,dollar,Ut est minima ipsa q,MOBILE,credit,americanexpress,2020-09-18,Gerlach Inc,WhiteMills,42788,37.54376602,-86.03952026,symbian,NoPOS,US,KY,NA,NA,NA,NA,NA,NA,NA,0,Paolo,ubuntu,jio,Otcom,-20.719781999999999,-72.159011000000007,23.235.209.181,NA,NA,NA,NA,NA,regular,6625.221666,0.12029319,Male,Married,Very High,Arne Expressway,787,Chicago,IL,US,60290,41.850033,-87.650055,prepaid,18-Apr,visa,"Simonis, Simonis and Simonis",US,391692.048,43910.97168,NA,0.088001348336,NA,551
1635.207084,pound,Commodi et veniam in,POS,credit,visa,2020-04-20,"Schaefer, Schaefer and Schaefer",Whitney,69367,42.75588226,-103.2395554,POS,Bank,US,NE,"O'Kon Fords",Whitney,NE,US,Bank,42.755882,-103.239555,0,Lavina,android,airtel,Subin,53.368634999999998,-8.1975809000000002,96.43.110.81,NA,NA,NA,NA,NA,regular,5590.977795,0.196250428,Male,Married,High,Torphy Flats,253,Sacramento,CA,US,95811,38.581573,-121.4944,debit,18-Apr,visa,"Buckridge, Buckridge and Buckridge",US,651172.0257,73993.16896,NA,0.088001348336,NA,2151.932522
2727.044443,rupee,Nihil vero at nemo m,WEB,prepaid,americanexpress,2020-02-20,Mills and Sons,Carolina,988,18.40200043,-65.97820282,firefox,NoPOS,US,PR,NA,NA,NA,NA,NA,NA,NA,0,Kelsi,ubuntu,aircel,Latlux,-85.234305000000006,-133.25474,73.2.52.46,NA,NA,NA,NA,NA,priority,5253.27173,0.081513288,Male,Unmarried,Low,Alia Drives,150,NorthPort,FL,US,34291,27.044224,-82.23592,debit,20-Sep,americanexpress,Marquardt and Sons,US,294397.5071,94798.93987,NA,0.088001348336,NA,41.9146731
2289.606266,pound,Ab qui repudiandae o,MOBILE,debit,visa,2020-11-17,"D'Amore, D'Amore and D'Amore",Edmond,73025,35.65283203,-97.47809601,ubuntu,NoPOS,US,OK,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,80:55:b3:92:bb:d6,40.118.240.200,safari,Windows,www.keegan-champlin.name,regular,7843.416431,0.535274441,Male,Unmarried,Very High,Daphney Glens,305,York,AL,US,36925,32.472767,-88.2683,debit,19-May,visa,"Schmitt, Schmitt and Schmitt",US,649736.7747,99475.91072,NA,0.088001348336,NA,3013.121846
